cat,value,SOIL_ID,NDVI_MEAN,DEM_ADJ,ROUGH_MEAN,SLOPE_MEAN,SLOPE_VAR,PLANCURV,POU_WAM,R_Index,label,is_prototype,similarity,reliability_positive,reliability_negative
1265,8742,200,-1.0121209,1.200305162,-0.12684038,-0.08731537,14.93288659,1.663169317,-0.309603272,-0.95638022,0,0,0.442998474,0.442998474,0.557001526
3251,4084,191,1.114565528,-0.327518562,1.448747328,1.309970067,19.9747279,1.392074355,-0.208856296,1.152957867,0,0,0.288791598,0.288791598,0.711208402
5582,9900,200,-0.70744125,0.956954404,-0.304794111,-0.776071876,13.95506672,0.149741934,-0.130343141,1.399844978,0,0,0.42138055,0.42138055,0.57861945
4642,9356,200,-2.079365584,-1.752407052,-2.309155636,-3.249823812,6.169437051,1.665140495,-0.060834328,-1.429727721,0,0,0.205139463,0.205139463,0.794860537
2780,4791,510,-0.569719089,1.114376698,2.329632711,1.310440922,22.53771636,-0.923401302,-0.997950105,-0.268991109,0,0,0.214370719,0.214370719,0.785629281
1635,8878,200,1.165661137,0.091357269,-0.976947208,-0.551930755,11.74998138,-0.237823053,0.395450438,0.368237257,0,0,0.438868392,0.438868392,0.561131608
4640,6737,200,-0.999138717,1.051776423,1.15540399,0.320809885,18.92244261,-0.18748282,0.10401034,2.491739128,0,0,0.428692412,0.428692412,0.571307588
5060,7105,510,-1.816145185,1.505114695,1.278113923,0.65372628,19.60602519,1.376042373,-0.939142456,1.159922384,0,0,0.256391994,0.256391994,0.743608006
1980,1550,200,1.47832038,-0.137535037,0.990407865,0.824357102,18.51739808,1.190409692,-0.456737811,-0.083161276,0,0,0.405505846,0.405505846,0.594494154
4236,6259,510,-2.310640979,2.663481176,1.057130762,0.699435218,18.50388542,-0.862257642,-0.365695934,-0.075661019,0,0,0.396777672,0.396777672,0.603222328
2526,9208,200,0.860227788,0.364455918,-0.66064962,-0.11168064,12.85519078,-0.740112965,-0.458356191,-0.496865857,0,0,0.439196633,0.439196633,0.560803367
5637,9964,191,-0.627823186,-0.968487639,-1.968405418,-2.92623965,7.660630127,0.297196529,-0.285164072,0.043377838,0,0,0.422127319,0.422127319,0.577872681
1221,3416,191,0.564552975,-0.239460947,-1.061978306,-0.679288157,11.48077251,-0.764827376,0.195342514,1.264866816,0,0,0.41374503,0.41374503,0.58625497
790,1907,200,-1.36899644,1.426052269,-0.908008107,-0.890912981,11.9810382,-0.28208078,-0.07664894,0.403922804,0,0,0.379326755,0.379326755,0.620673245
2847,5136,510,-1.998178792,1.590315547,-0.457054032,-0.894912349,13.23301055,-0.307037186,-0.19569872,2.181641323,0,0,0.369922615,0.369922615,0.630077385
1331,8814,200,-0.175412384,0.64710834,-1.748753166,-0.757730929,8.568211312,-0.547472826,-0.244602281,-0.047302806,0,0,0.331071328,0.331071328,0.668928672
